book_title;Status;author;page_count;reading_time_hhmmss;rating;finished_at;country;genres;amazon_url;reading_time_seconds;cover_filename;URL;ISBN
Walking the Talkin - A Cultura Através do Exemplo;finished;Caolyn Taylor;479;12:00:29;4.5;21/05/2026;EUA;Comunicação, Negócios;;43229;walking-the-talkin-a-cultura-atraves-do-exemplo.jpg;https://www.amazon.com.br/Walking-Talk-Cultura-Atraves-Exemplo/dp/8577736970/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=3194BSVJWL3WF&dib=eyJ2IjoiMSJ9.5tCEId16EZYDlSy3abniZQ.njJ6094rIn63TGtU9duIlv1Wl4QgWkvHW3IXR-neK0Q&dib_tag=se&keywords=walking+the+talking+-+a+cultura+através+do+exemplo&qid=1784395583&sprefix=walking+the+talkin+-+a+cultura+através+do+exemplo%252Caps%252C263&sr=8-1;8577736970
A morte de Ivan Ilitch;finished;Leon Tolstói;96;01:33:16;4.3;18/06/2026;Rússia;Clássico, Filosófico;;5596;a-morte-de-ivan-ilitch.jpg;https://www.amazon.com.br/morte-Ivan-Ilitch-Lev-Tolstói/dp/8573263598/ref=sr_1_2?__mk_pt_BR=ÅMÅ_ÕÑ&crid=2AFTDRYP0UYO7&dib=eyJ2IjoiMSJ9.jurt51PKgZ_ZVQDuEiToB63AvsVI3zNUysXyFV6uv5ZY2FK87KKCkQa4PRycXKu6ZGcoDbZex9m7cDZ58XOaMGqTFES24SZszFonXQ-dQmNhM6amFQgXKde7LpsyPOIOhzu8kg8uelm5x3ZU0yis0cWPlIaCwtqOqfZcS28-KWwlUkpqwifG--2Eudih81xVh8zkRcHHDNo_Vs6VffDF1eGdNeb38uoMpEQOz0jcdku_TZCpdlv71RBoK8cn1hGj62Yyw6CUlC9zTLiXvCnosYgcEfj5gYfBv5VjYluJj6U.NmQm4-ChJQ_VHTEKSL-2YOxOLpKq4d1ULmp05mlAtO8&dib_tag=se&keywords=A+morte+de+Ivan+Ilitch&qid=1784395607&sprefix=a+morte+de+ivan+ilitch%252Caps%252C263&sr=8-2&ufe=app_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9;8573263598
Do que eu falo quando falo de corrida;finished;Haruki Murakami;152;06:16:55;4;21/12/2025;Japão;Memórias, Não Ficção;;22615;do-que-eu-falo-quando-falo-de-corrida.jpg;https://www.amazon.com.br/Do-que-falo-quando-corrida/dp/8579620279/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=DTCS04X0TAPU&dib=eyJ2IjoiMSJ9.wyNct4qFL57UQvIEqBFjNcOdn47Ijxzo_qIHi7qYeEybdyqABSgsBlSgLZbg7V6QCAWdYlZnuMeDC4ELHxHAsw.gJVyYRYHFKD6BDrIWSoQJsWSDpyuOavLdAelBmFjzo8&dib_tag=se&keywords=Do+que+eu+falo+quando+falo+de+corrida&qid=1784395630&sprefix=do+que+eu+falo+quando+falo+de+corrida%252Caps%252C279&sr=8-1;8579620279
Água Fresca para as Flores;finished;Valérie Perrin;480;14:30:15;4.9;27/02/2026;França;Ficção, Drama;;52215;agua-fresca-para-as-flores.jpg;https://www.amazon.com.br/Água-Fresca-Para-As-Flores/dp/6555602309/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=3OO6OHX6EHF3H&dib=eyJ2IjoiMSJ9.nVDb_GrvkYKMKkQeHOPr1ZHDgB3ZUCyDckfKb6B6vJd1w6A2E3L0aX4w6xVb2AacER0DINBNShVRQJVWsVnymt4GzkEEKzqgwdEHVEf8wvD2fTRGeGmfZAkqdItuiA4ewf6zugDju5Dgo-z2FRWxZw.77wRlZiyz04NsBYTls1fYxuGXYYO1aPl6YdQmcFauN8&dib_tag=se&keywords=Água+Fresca+para+as+Flores&qid=1784395649&sprefix=água+fresca+para+as+flores%252Caps%252C294&sr=8-1;6555602309
O Segredo Final;finished;Dan Brown;552;22:48:49;4.5;04/06/2026;EUA;Ficção, Suspense;;82129;o-segredo-final.jpg;https://www.amazon.com.br/segredo-final-Robert-Langdon-Livro/dp/6555658398/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=R8QMLRDG9RHY&dib=eyJ2IjoiMSJ9.fiOCDYLm5rSBIAaJxAl8Soehr6OE5OvY5OZEt3jWpRb3oQOkzj-HbueIPNDeqxYjLj2auwmLTbVqPna4qLBnIpOyYq1gHIprfaSoas1kCwXzrttGRQarn-X4AXoF32SXk0YP4hqmHbcr-BnxN8lFLI5ONJMYSycuYoAIv_Q6LoHEp-8J3QIhBdYoNGA3y8Vo8kiXFgEv54zzwSBbIq6gQA4gl0XLSbYz9cfOvNrbBh_ooGH9yi7XIaj2gmjeGQFBiWDBtzYE7DxwUWh5iUNFFyfvg5C0nKg0fQCPgCSxG-c.x3s9PARjeQLehgmANMF8i-UJZQTZ4c-UyAN-5LE-oRY&dib_tag=se&keywords=O+Segredo+Final&qid=1784395671&sprefix=o+segredo+final%252Caps%252C276&sr=8-1;6555658398
Relatos de um gato viajante;finished;Hiro Arikawa;214;08:18:10;4;16/03/2026;Japão;Ficção, Drama;;29890;relatos-de-um-gato-viajante.jpg;https://www.amazon.com.br/s?k=Relatos+de+um+gato+viajante&__mk_pt_BR=ÅMÅ_ÕÑ&crid=196CM1IKGX87I&sprefix=relatos+de+um+gato+viajante%252Caps%252C294&ref=nb_sb_noss_1;
Evidencias de uma traição;finished;Taylor Jenkins Reid;140;01:25:20;4;12/05/2026;EUA;Romance, Drama;;5120;evidencias-de-uma-traicao.jpg;https://www.amazon.com.br/Evidências-traição-Taylor-Jenkins-Reid-ebook/dp/B09LJZN7GG/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=3L7DM711F63FS&dib=eyJ2IjoiMSJ9.wilFaUXCOpbrEa2Ju2zYV988Jt4Yzk4dZter3-mBjIsrRUTO0dy0WupL_xGl2QAOnetIw0xaYkhJLKvuZ8W8uL1Uyk_dOT-b2Kkay0j6eOoHuiKtqDt5bKC3ZxuY-347V0jQVR-hvNQ1SI5oAnCAvaCi6Tr98xHdEG43o8K5Dm9_6hG8TFZxH-mCnbq78Y_6mJVHgcT0h3uDR5cHZmh7Uofdxo_oeGorhuaz7lEtd7SEK35SdXPNhOasei-xBUS1U54UDqkvKP4HgUWnbSRQu4FYljRmlHvKIscAo4yCR20.cA7LgcmZMwnZwe6y2PkpMjwqvK8_LYaqWRs2RciP8co&dib_tag=se&keywords=Evidencias+de+uma+traição&qid=1784395696&sprefix=evidencias+de+uma+traição%252Caps%252C273&sr=8-1;B09LJZN7GG
A Desobediencia Civil;finished;Henry David Thoreau;80;03:18:23;4;13/12/2025;EUA;Filosofia, Política;;11903;a-desobediencia-civil.jpg;https://www.amazon.com.br/Desobediência-Civil-H-D-Thoreau/dp/8572839682/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=MYZXP65OYSPA&dib=eyJ2IjoiMSJ9.BRLixb7c9gv4JZw2A5yWtO-6lWiqHf47v4iA3GVEwGJUQKDeeohed0WlhEJ-cHezXtBqUTDLchuPekQ8dlVrQdMHes_bC_orLs0hLAVUjkS2GYVMKgCyuEEfoLMG5LwNWdOVniw2eM7AcI-ZEf-k6g53aQXMQZoz50bwxVn5eq3zkiFNmtd8BoaDSs-rEAJ4VQFNv38XdypaNqwNjGIELla8WOLRWRQcXtLCLgc9czVeibPmdxDgW0Ot5FkguDC83kkwuZfZllgwEUFDJQ41fD9HfryzYt4rMYEGyd9m2Fg.Bygr3B34BFHtINHAzvodp5r349zhNbqplD31xuqMN90&dib_tag=se&keywords=A+Desobediencia+Civil&qid=1784395709&sprefix=a+desobediencia+civil%252Caps%252C279&sr=8-1;8572839682
Walden, ou a vida nos bosques;finished;Henry David Thoreau;323;13:20:57;4.1;12/12/2025;EUA;Filosofia, Natureza;;48057;walden-ou-a-vida-nos-bosques.jpg;https://www.amazon.com.br/Walden-ou-Vida-nos-Bosques/dp/8552100134/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=3SIKRHW7H5T8F&dib=eyJ2IjoiMSJ9.eJ6WLNiMGSA2M6JTZpy45HfDBG-scQI_YS4uUdu-Ptt1yAzhZDVHotIN45kyB75A4s8Yx3S9hDHqQVgTPL7fTd5ECF2XzvrSgHh7FvZSPVnKFsB_GEHSRaVVhv6PuQ5vESZKYMx6H9TigXr2EioKvCfJALWT3yJ5Yttq5XiMOzxqtRHTkjLja9Ou98PDSeTwq1TKG8-ZSWIdgg5-8XPVw1RTkYOIvNnYrE2_bNzq2UvgxfNzIhKx091FqKTSPEsse1j_1-mmzll_4PZbmGga9g5zqkyzsDAGlpWkIcXIDhQ.yx7zwUbyEVJQEa1JR2iNUdDpF8GiMMWC9SZLj7qHZNU&dib_tag=se&keywords=Walden%252C+ou+a+vida+nos+bosques&qid=1784395730&sprefix=walden+ou+a+vida+nos+bosques%252Caps%252C274&sr=8-1;8552100134
Verity;finished;Colleen Hoover;291;12:01:36;4.6;11/12/2025;EUA;Thriller, Suspense;;43296;verity.jpg;https://www.amazon.com.br/Verity-Colleen-Hoover/dp/8501117846/ref=sr_1_1?__mk_pt_BR=ÅMÅ_ÕÑ&crid=H98BVUMFQF7G&dib=eyJ2IjoiMSJ9.WSo6UanQzlr7jZF7D8KPVHFn7ItqTZPWxtiGdZpgWeTmRFV2VYf6oUUtTwSPA2XqIN6k8OG2r9tQlcf8yoMaMNkSBTrOEl9kcq5TP-nQA9OrDcMRVrQeFVcdiCIC6ESa8omfOWJFEC1nXGmAeB3VK5aEJ8PQC06kzoLwbhBQgWE19wH3Vz1CrYRJJQmA7UFbOJVB6K-Rb2pc3QOzfHsit3dMSwzw4So0NMqScpOB2wWgk70J_2vufOSPm4ogFC8r6xW5JCAnDD3l4bO_dqWnOFMbYWJd3KMcj6PjnjGE7C8.JjnOMznjfRLADM28MAYyNt1RvNtsdz93YBx2xfWI224&dib_tag=se&keywords=Verity&qid=1784395743&sprefix=verity%252Caps%252C271&sr=8-1;8501117846
